 begins_at open_price close_price high_price low_price volume session interpolated symbol
158 2016-07-24T00:00:00Z 0.312500 0.287200 0.312500 0.278900 0 reg False LSKUSD
159 2016-07-25T00:00:00Z 0.287600 0.292300 0.293900 0.281800 0 reg False LSKUSD
160 2016-07-26T00:00:00Z 0.294700 0.286200 0.306700 0.252300 0 reg False LSKUSD
161 2016-07-27T00:00:00Z 0.282500 0.277300 0.299600 0.272800 0 reg False LSKUSD
162 2016-07-28T00:00:00Z 0.280600 0.279700 0.284900 0.265500 0 reg False LSKUSD
163 2016-07-29T00:00:00Z 0.279800 0.283100 0.283500 0.266600 0 reg False LSKUSD
164 2016-07-30T00:00:00Z 0.283200 0.280700 0.287700 0.274800 0 reg False LSKUSD
165 2016-07-31T00:00:00Z 0.280700 0.269100 0.280700 0.265100 0 reg False LSKUSD
166 2016-08-01T00:00:00Z 0.269100 0.236200 0.269600 0.236200 0 reg False LSKUSD
167 2016-08-02T00:00:00Z 0.241700 0.188900 0.241800 0.179700 0 reg False LSKUSD
168 2016-08-03T00:00:00Z 0.191200 0.220700 0.239700 0.190700 0 reg False LSKUSD
169 2016-08-04T00:00:00Z 0.219500 0.230600 0.246100 0.219400 0 reg False LSKUSD
170 2016-08-05T00:00:00Z 0.230600 0.226700 0.234800 0.222300 0 reg False LSKUSD
171 2016-08-06T00:00:00Z 0.226600 0.231900 0.234500 0.219600 0 reg False LSKUSD
172 2016-08-07T00:00:00Z 0.230900 0.223300 0.241700 0.216200 0 reg False LSKUSD
173 2016-08-08T00:00:00Z 0.223400 0.225800 0.228100 0.217000 0 reg False LSKUSD
174 2016-08-09T00:00:00Z 0.225800 0.225500 0.230900 0.218500 0 reg False LSKUSD
175 2016-08-10T00:00:00Z 0.225200 0.263200 0.284800 0.222900 0 reg False LSKUSD
176 2016-08-11T00:00:00Z 0.262000 0.246700 0.275300 0.234100 0 reg False LSKUSD
177 2016-08-12T00:00:00Z 0.246000 0.251800 0.263500 0.234000 0 reg False LSKUSD
178 2016-08-13T00:00:00Z 0.251100 0.258200 0.264100 0.249500 0 reg False LSKUSD
179 2016-08-14T00:00:00Z 0.257500 0.239200 0.258700 0.234900 0 reg False LSKUSD
180 2016-08-15T00:00:00Z 0.239300 0.255100 0.260600 0.238600 0 reg False LSKUSD
181 2016-08-16T00:00:00Z 0.255200 0.254900 0.262800 0.253400 0 reg False LSKUSD
182 2016-08-17T00:00:00Z 0.256000 0.268300 0.274600 0.254800 0 reg False LSKUSD
183 2016-08-18T00:00:00Z 0.268200 0.303400 0.327200 0.267000 0 reg False LSKUSD
184 2016-08-19T00:00:00Z 0.302700 0.295600 0.327300 0.287300 0 reg False LSKUSD
185 2016-08-20T00:00:00Z 0.296500 0.284100 0.307600 0.280700 0 reg False LSKUSD
186 2016-08-21T00:00:00Z 0.284000 0.311200 0.319200 0.277700 0 reg False LSKUSD
187 2016-08-22T00:00:00Z 0.314700 0.288800 0.315000 0.275700 0 reg False LSKUSD
188 2016-08-23T00:00:00Z 0.286700 0.273200 0.293300 0.249100 0 reg False LSKUSD
189 2016-08-24T00:00:00Z 0.270900 0.263000 0.283400 0.259500 0 reg False LSKUSD
190 2016-08-25T00:00:00Z 0.263000 0.258300 0.267300 0.254700 0 reg False LSKUSD
191 2016-08-26T00:00:00Z 0.258300 0.267100 0.275400 0.255600 0 reg False LSKUSD
192 2016-08-27T00:00:00Z 0.267400 0.260100 0.271400 0.260000 0 reg False LSKUSD
193 2016-08-28T00:00:00Z 0.262700 0.258400 0.263800 0.249000 0 reg False LSKUSD
194 2016-08-29T00:00:00Z 0.257100 0.268000 0.268800 0.249100 0 reg False LSKUSD
195 2016-08-30T00:00:00Z 0.267200 0.253700 0.267300 0.252000 0 reg False LSKUSD
196 2016-08-31T00:00:00Z 0.253200 0.253000 0.257500 0.245400 0 reg False LSKUSD
197 2016-09-01T00:00:00Z 0.253700 0.246300 0.254600 0.246300 0 reg False LSKUSD
